owner,repo,stars_and_watchers,forks,downstream_dependents,length_of_comments,change_of_pulls,change_of_contributors,time_to_close_issues,time_to_comment_issues,closed_PRs,time_to_close_PRs,time_to_comment_PRs,commit_tags,health_percentage,headings_of_docs,headings_of_README,projects_owned_by_maintainer,projects_age_owned_by_maintainer,outdated_versions,vulnerabilities,workflow_runs,contributors_per_code_file,files_with_more_than_1_contributors,time_since_created,versions,issues_reporters_count,contributors_count,submitted_PRs,submitted_commits,issues_closed_rate,PRs_closed_rate,comments_per_pull,labels
karma-runner,karma-jasmine,1084.0,163.0,3307521,811.3,1.0,-1.0,-1.0,-1.0,1.0,202.2,-1.0,19.0,50.0,0,6.0,46.0,3768.0,6953,15.0,40.0,4.2,23.0,4074.73,42.0,1.0,1.0,3.0,1.0,0.83,0.92,1.4,19.0
jaredhanson,passport,44568.0,1221.0,1012585,811.2,0.0,-1.0,31.5,18.1,3.0,0.0,0.0,11.0,71.0,2,8.0,416.0,3498.9,123,0.0,12.0,1.8,30.0,4558.06,-1.0,17.0,1.0,5.0,7.0,0.56,0.75,1.4,11.0
jinder,path,254.0,81.0,748702,811.2,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,42.0,0,3.0,9.0,3646.8,10,0.0,-1.0,1.4,2.0,3371.59,1.0,1.0,-1.0,1.0,-1.0,0.35,0.5,1.4,7.0
chjj,blessed,22206.0,514.0,97129,811.2,0.0,-1.0,13.1,10.8,-1.0,-1.0,-1.0,6.0,42.0,0,21.0,84.0,3159.7,0,0.0,-1.0,1.1,7.0,4081.27,-1.0,4.0,-1.0,-1.0,-1.0,0.39,0.52,1.4,6.0
Pomax,react-onclickoutside,3628.0,189.0,248662,811.2,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,42.0,0,20.0,137.0,2481.1,17793,32.0,-1.0,4.2,35.0,3372.22,9.0,-1.0,-1.0,-1.0,-1.0,0.77,0.99,1.4,10.0
mariocasciaro,object-path,2086.0,94.0,2486953,811.2,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,57.0,0,14.0,41.0,3018.7,4185,16.0,-1.0,3.3,8.0,3845.96,-1.0,-1.0,-1.0,-1.0,-1.0,0.66,0.77,1.4,8.0
SheetJS,sheetjs,68558.0,8004.0,183238,811.2,-1.0,-1.0,-1.0,107.4,3.0,42.1,0.0,22.0,37.0,0,2.0,43.0,2981.1,715,0.0,49.0,1.8,492.0,4136.19,-1.0,2.0,-1.0,3.0,-1.0,0.95,0.96,1.4,22.0
jaredhanson,passport-strategy,224.0,30.0,793176,811.2,0.0,-1.0,0.1,0.1,-1.0,-1.0,-1.0,6.0,42.0,0,7.0,416.0,3498.9,127,0.0,-1.0,1.0,-1.0,3895.15,-1.0,1.0,-1.0,-1.0,-1.0,0.38,0.33,1.4,6.0
gulpjs,vinyl-fs,1924.0,168.0,1116235,811.2,0.0,-1.0,0.9,0.9,-1.0,-1.0,-1.0,11.0,62.0,0,9.0,72.0,3044.7,197,0.0,72.0,3.1,102.0,3753.72,45.0,1.0,-1.0,-1.0,-1.0,0.97,1.0,1.4,11.0
oclif,config,48.0,37.0,24,810.7,0.0,-1.0,-1.0,-1.0,13.0,1.4,0.0,23.0,37.0,0,0.0,75.0,1765.6,4509,14.0,958.0,3.0,27.0,2269.68,243.0,-1.0,3.0,14.0,28.0,0.67,0.97,1.4,23.0
SeleniumHQ,selenium,57820.0,7863.0,250002,804.5,15.0,5.0,14.6,0.3,455.0,9.8,2.3,76.0,100.0,15,25.0,20.0,2773.0,18226,9.0,14652.0,1.3,229.0,4094.1,91.0,559.0,52.0,507.0,499.0,0.99,0.99,1.4,76.0
wnr,element-resize-detector,2608.0,116.0,164812,804.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,42.0,0,12.0,99.0,3440.0,692,71.0,-1.0,1.9,13.0,3351.48,-1.0,-1.0,-1.0,-1.0,-1.0,1.00,1.0,1.4,8.0
browserify,browserify,28998.0,1185.0,464286,804.5,0.0,-1.0,5.3,0.0,-1.0,-1.0,-1.0,8.0,62.0,7,40.0,75.0,3387.2,134,0.0,-1.0,2.7,266.0,4939.33,14.0,6.0,1.0,2.0,1.0,0.76,0.94,1.4,8.0
mathiasbynens,base64,996.0,103.0,229062,804.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,42.0,0,10.0,584.0,2666.8,79,0.0,-1.0,1.0,-1.0,3610.41,-1.0,-1.0,-1.0,-1.0,-1.0,0.61,0.4,1.4,7.0
mscdex,ssh2,10754.0,693.0,66494,804.5,0.0,-1.0,34.6,7.6,2.0,32.5,0.0,9.0,42.0,0,36.0,85.0,3019.5,73,0.0,60.0,1.1,14.0,4258.63,-1.0,41.0,1.0,5.0,6.0,0.96,0.8,1.4,9.0
airbnb,enzyme,39960.0,2017.0,512996,804.4,0.0,-1.0,6.4,0.0,1.0,202.0,0.0,35.0,75.0,28,9.0,197.0,2834.7,1232,0.0,105.0,2.1,142.0,3064.09,-1.0,2.0,-1.0,2.0,-1.0,0.86,0.96,1.4,35.0
epeli,underscore.string,6740.0,420.0,460434,804.4,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,0,13.0,-1.0,-1.0,834,7.0,-1.0,2.1,110.0,4996.67,9.0,-1.0,-1.0,-1.0,-1.0,0.72,0.82,1.4,8.0
sindresorhus,user-home,322.0,13.0,1175290,804.4,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,85.0,0,6.0,1100.0,2969.7,2,0.0,-1.0,1.4,4.0,3528.28,-1.0,-1.0,-1.0,-1.0,-1.0,1.00,1.0,1.4,7.0
angular,components,48022.0,6632.0,796636,804.4,26.0,0.0,13.3,10.0,620.0,6.9,-1.0,145.0,75.0,26,5.0,205.0,2967.1,17727,69.0,35086.0,1.2,239.0,3009.22,448.0,367.0,48.0,667.0,481.0,0.87,0.99,1.4,145.0
vuejs,vue-style-loader,450.0,68.0,2591313,804.4,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,0,6.0,123.0,2364.1,0,68.0,-1.0,2.7,19.0,3008.24,1.0,-1.0,-1.0,-1.0,-1.0,0.54,0.65,1.4,7.0
stevemao,left-pad,2554.0,145.0,2244523,804.4,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,37.0,0,3.0,497.0,2664.1,25,0.0,-1.0,3.6,11.0,3670.62,-1.0,-1.0,-1.0,-1.0,-1.0,0.88,0.83,1.4,8.0
remarkjs,react-markdown,23912.0,839.0,244867,803.8,1.0,-1.0,3.7,0.1,9.0,19.0,0.2,45.0,87.0,0,34.0,58.0,2739.3,304,0.0,467.0,3.4,58.0,3240.0,15.0,53.0,2.0,10.0,32.0,0.99,0.99,1.4,45.0
Hacker0x01,react-datepicker,15510.0,2200.0,227202,808.2,34.0,1.0,12.4,15.8,263.0,4.2,0.6,16.0,87.0,12,14.0,144.0,2053.4,10493,4.0,3851.0,3.0,96.0,3570.68,192.0,78.0,26.0,270.0,400.0,0.86,1.0,1.4,16.0
nfl,react-helmet,34376.0,707.0,752906,808.2,0.0,-1.0,0.0,22.4,-1.0,-1.0,0.0,11.0,62.0,10,13.0,65.0,2756.2,24523,89.0,-1.0,5.6,29.0,3209.99,3.0,6.0,-1.0,2.0,-1.0,0.58,0.81,1.4,11.0
node-js-libs,cli,1608.0,77.0,192136,808.2,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,0,8.0,6.0,4782.7,0,0.0,-1.0,2.2,7.0,4838.69,-1.0,-1.0,-1.0,-1.0,-1.0,0.68,0.76,1.4,-1.0
koajs,compose,1990.0,145.0,347511,808.2,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,87.0,0,6.0,102.0,3484.5,8975,5.0,10.0,3.6,10.0,3883.83,-1.0,-1.0,-1.0,-1.0,-1.0,0.90,0.91,1.4,9.0
http-party,http-server,26398.0,1453.0,308934,808.2,1.0,-1.0,0.4,60.0,1.0,0.0,-1.0,25.0,87.0,12,8.0,4.0,4511.4,8505,20.0,414.0,2.4,73.0,4672.0,12.0,7.0,-1.0,7.0,-1.0,0.82,0.85,1.4,25.0
ethereumjs,ethereumjs-monorepo,4878.0,676.0,1,833.0,5.0,-2.0,28.7,4.6,305.0,7.8,0.1,62.0,37.0,0,8.0,51.0,2606.4,10845,0.0,74962.0,2.3,843.0,3187.38,335.0,24.0,18.0,316.0,268.0,0.91,0.98,1.4,62.0
dcodeIO,bcrypt.js,6798.0,253.0,16,833.0,0.0,-1.0,0.0,23.4,-1.0,-1.0,-1.0,8.0,42.0,0,11.0,68.0,2693.8,0,0.0,-1.0,1.3,10.0,3987.87,4.0,4.0,-1.0,2.0,-1.0,0.67,0.69,1.4,8.0
goto100,xpath,428.0,70.0,72436,832.5,-1.0,0.0,51.8,20.7,10.0,47.0,52.5,6.0,-1.0,0,11.0,63.0,2538.3,0,3.0,-1.0,3.5,8.0,4241.9,-1.0,8.0,5.0,16.0,25.0,0.88,0.86,1.4,6.0
hapijs,boom,5858.0,194.0,1992014,832.4,-1.0,-1.0,0.4,0.3,1.0,3.0,0.1,17.0,75.0,0,3.0,75.0,3047.3,50,0.0,16.0,6.2,16.0,4096.16,5.0,4.0,-1.0,2.0,-1.0,0.97,0.99,1.4,17.0
request,request-promise,9534.0,300.0,314695,832.4,1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,11.0,37.0,0,29.0,29.0,3355.3,133,0.0,-1.0,3.1,20.0,3831.27,-1.0,2.0,-1.0,1.0,-1.0,0.81,0.9,1.4,11.0
expressjs,errorhandler,842.0,62.0,1938482,832.4,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,50.0,0,8.0,44.0,3465.5,242,0.0,-1.0,1.8,10.0,3681.67,23.0,-1.0,-1.0,-1.0,-1.0,1.00,1.0,1.4,19.0
react-icons,react-icons,21724.0,709.0,2272648,831.3,4.0,-1.0,27.8,16.7,37.0,21.2,19.4,12.0,37.0,0,19.0,1.0,3082.5,370,14.0,374.0,1.6,458.0,3082.47,46.0,61.0,9.0,50.0,40.0,0.72,0.89,1.4,12.0
apostrophecms,sanitize-html,7104.0,397.0,246147,831.3,0.0,-1.0,11.2,1.6,2.0,0.6,-1.0,11.0,87.0,0,25.0,180.0,1846.0,396,0.0,-1.0,9.6,12.0,3856.16,-1.0,8.0,2.0,2.0,3.0,0.97,1.0,1.4,11.0
react-dnd,react-dnd,40608.0,1955.0,221507,831.3,0.0,-1.0,8.2,11.3,1.0,41.1,-1.0,23.0,75.0,11,2.0,7.0,2530.0,27386,45.0,7.0,1.1,166.0,3451.44,138.0,33.0,-1.0,4.0,-1.0,0.76,0.99,1.4,23.0
mishoo,UglifyJS2,-1.0,-1.0,3,-1.0,0.0,-1.0,1.7,9.1,-1.0,17.1,10.8,8.0,71.0,3,30.0,45.0,3632.6,12,0.0,38312.0,1.0,2.0,-1.0,275.0,-1.0,-1.0,-1.0,-1.0,0.99,1.0,1.4,8.0
zenorocha,clipboard.js,67454.0,4001.0,0,831.3,1.0,-1.0,5.5,25.2,-1.0,-1.0,60.0,16.0,71.0,5,14.0,143.0,2740.3,19478,18.0,7.0,3.4,38.0,3117.04,42.0,10.0,-1.0,3.0,-1.0,0.98,0.99,1.4,16.0
reactjs,react-modal,14616.0,831.0,380299,831.0,0.0,-1.0,53.1,0.3,3.0,177.1,107.4,33.0,62.0,4,6.0,70.0,2026.6,30198,50.0,24.0,3.8,82.0,3479.94,2.0,8.0,3.0,3.0,5.0,0.74,0.91,1.4,33.0
medialize,URI.js,12498.0,553.0,19,831.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,62.0,1,16.0,12.0,3934.3,0,0.0,-1.0,2.9,32.0,4478.55,43.0,-1.0,-1.0,37.0,-1.0,0.79,0.75,1.4,9.0
sindresorhus,tildify,182.0,10.0,772903,831.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,85.0,0,4.0,1100.0,2969.7,73,0.0,-1.0,2.1,12.0,3734.73,2.0,-1.0,-1.0,-1.0,-1.0,0.67,1.0,1.4,6.0
apollographql,apollo-link,2872.0,355.0,337919,831.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,87.0,9,6.0,175.0,1249.2,45491,191.0,-1.0,3.8,131.0,2489.31,-1.0,-1.0,-1.0,-1.0,-1.0,0.54,0.91,1.4,23.0
winstonjs,winston-daily-rotate-file,1702.0,151.0,45268,831.0,-1.0,-1.0,0.0,42.3,2.0,102.6,205.1,9.0,37.0,0,8.0,19.0,3394.6,626,2.0,12.0,4.0,16.0,3117.09,8.0,11.0,1.0,2.0,1.0,0.85,0.98,1.4,9.0
facebook,react-native,229792.0,23763.0,1683188,805.1,106.0,-1.0,17.8,1.3,966.0,8.2,0.0,210.0,87.0,8,12.0,135.0,2276.2,7051,9.0,141034.0,1.4,356.0,3369.24,307.0,695.0,33.0,1030.0,99.0,0.97,0.98,1.3,210.0
75lb,command-line-args,1348.0,109.0,346567,805.1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,71.0,0,6.0,102.0,3156.4,810,6.0,1.0,1.1,11.0,3597.06,7.0,-1.0,-1.0,1.0,-1.0,0.92,0.96,1.3,8.0
naugtur,xhr,1618.0,108.0,741199,805.1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,57.0,5,22.0,181.0,2201.0,298,31.0,-1.0,5.1,9.0,4371.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.88,0.96,1.3,9.0
sidorares,node-mysql2,7696.0,583.0,663031,795.9,65.0,8.0,9.4,2.3,227.0,5.2,2.2,34.0,85.0,12,6.0,168.0,3406.2,3383,0.0,7138.0,1.2,61.0,4001.78,38.0,66.0,20.0,238.0,188.0,0.67,0.96,1.3,34.0
vuejs,vue-hot-reload-api,932.0,52.0,2234728,795.9,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,37.0,0,3.0,123.0,2364.1,9852,37.0,-1.0,3.0,7.0,3084.22,2.0,-1.0,-1.0,-1.0,-1.0,0.50,0.59,1.3,8.0
vuejs,vuex,56668.0,9551.0,1251824,795.9,1.0,-1.0,0.2,20.7,3.0,0.1,0.0,21.0,50.0,0,9.0,123.0,2364.1,13351,17.0,7.0,2.3,376.0,3181.82,51.0,6.0,1.0,7.0,1.0,0.92,0.95,1.3,21.0
prettymuchbryce,http-status-codes,1894.0,104.0,109407,795.7,2.0,-1.0,27.4,8.5,-1.0,-1.0,0.1,10.0,42.0,0,7.0,93.0,2805.5,2649,23.0,9.0,2.0,14.0,3980.21,9.0,3.0,2.0,3.0,4.0,0.77,0.68,1.3,10.0
kelektiv,node-cron,16276.0,610.0,128354,793.1,3.0,0.0,7.2,3.7,130.0,4.4,1.9,31.0,87.0,28,21.0,3.0,4289.6,121,1.0,2750.0,3.4,43.0,5030.94,24.0,21.0,5.0,138.0,153.0,0.97,0.97,1.3,31.0
jasmine,jasmine-npm,748.0,141.0,20,793.1,0.0,-1.0,-1.0,44.7,-1.0,-1.0,-1.0,11.0,62.0,7,8.0,11.0,3842.6,33,0.0,-1.0,1.5,30.0,3686.19,53.0,1.0,1.0,-1.0,8.0,0.99,1.0,1.3,11.0
parshap,node-sanitize-filename,660.0,55.0,0,793.1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,42.0,0,9.0,133.0,3426.2,4134,54.0,-1.0,1.9,5.0,3866.12,-1.0,1.0,-1.0,1.0,-1.0,0.67,0.73,1.3,10.0
mui-org,material-ui,181942.0,31117.0,1102767,769.2,237.0,-1.0,19.8,5.8,1393.0,10.3,0.0,180.0,100.0,18,18.0,-1.0,-1.0,20053,5.0,123277.0,1.3,647.0,3513.2,450.0,690.0,42.0,1446.0,231.0,0.92,0.99,1.2,180.0
knex,knex,37072.0,2065.0,333134,765.9,-7.0,-3.0,47.9,20.9,56.0,24.0,8.5,37.0,50.0,13,4.0,9.0,2494.6,2751,0.0,2192.0,2.6,235.0,4110.78,58.0,85.0,30.0,86.0,53.0,0.75,0.95,1.2,37.0
sequelize,sequelize,57842.0,4237.0,821092,763.8,22.0,2.0,34.6,19.7,552.0,4.1,8.9,63.0,100.0,16,7.0,25.0,2908.5,11329,3.0,20235.0,1.7,255.0,5001.7,473.0,119.0,22.0,575.0,482.0,0.92,0.99,1.2,63.0
react-component,slider,5990.0,750.0,0,764.6,-12.0,-1.0,11.2,33.1,22.0,21.4,0.0,11.0,37.0,0,17.0,108.0,2564.4,555,0.0,366.0,4.7,96.0,3269.69,37.0,11.0,6.0,25.0,26.0,0.58,0.91,1.2,11.0
trentm,node-bunyan,14234.0,515.0,367249,764.6,0.0,-1.0,-1.0,0.0,-1.0,-1.0,33.7,23.0,57.0,11,37.0,168.0,2375.3,3855,45.0,4.0,2.0,23.0,4444.73,-1.0,4.0,-1.0,3.0,-1.0,0.54,0.73,1.2,23.0
nashwaan,xml-js,2464.0,185.0,353759,764.6,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,8.0,42.0,0,22.0,13.0,2800.7,26121,148.0,-1.0,1.1,22.0,2901.8,8.0,5.0,-1.0,-1.0,-1.0,0.42,0.45,1.2,8.0
websockets,bufferutil,248.0,45.0,545076,764.6,0.0,-1.0,9.5,4.0,-1.0,-1.0,-1.0,8.0,37.0,0,6.0,5.0,3081.3,6,0.0,16.0,2.3,11.0,3349.59,16.0,2.0,1.0,-1.0,11.0,0.99,1.0,1.2,8.0
firebase,firebase-js-sdk,9382.0,855.0,1474082,829.7,4.0,0.0,19.3,4.0,227.0,7.8,0.0,54.0,87.0,14,19.0,96.0,2237.3,28461,75.0,53575.0,2.7,1313.0,2533.09,13.0,184.0,29.0,302.0,188.0,0.86,0.96,1.2,54.0
hudochenkov,stylelint-order,1782.0,66.0,190788,829.7,-1.0,-1.0,5.5,0.2,4.0,43.7,43.7,10.0,42.0,0,7.0,86.0,2188.1,5779,0.0,40.0,1.4,31.0,2708.34,32.0,7.0,1.0,5.0,7.0,0.89,0.94,1.2,10.0
googleapis,google-api-nodejs-client,22180.0,1885.0,0,820.0,0.0,0.0,6.8,10.2,72.0,9.8,7.5,324.0,87.0,12,26.0,826.0,1432.5,570,0.0,3167.0,1.3,366.0,4043.29,4145.0,59.0,9.0,75.0,414.0,0.88,1.0,1.3,324.0
FortAwesome,Font-Awesome,145668.0,12178.0,717123,819.8,1.0,-1.0,6.9,4.8,13.0,1.4,3.6,135.0,75.0,10,9.0,39.0,1604.3,1,0.0,-1.0,1.5,305.0,4426.4,54.0,235.0,4.0,16.0,6.0,0.72,0.96,1.3,135.0
webpack-contrib,eslint-loader,2118.0,133.0,3382343,819.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,62.0,0,15.0,87.0,3137.7,30168,51.0,-1.0,2.8,63.0,3404.74,49.0,-1.0,-1.0,-1.0,-1.0,1.00,1.0,1.3,8.0
ciaranj,node-oauth,4870.0,676.0,0,819.8,0.0,-1.0,-1.0,-1.0,1.0,119.0,-1.0,1.0,-1.0,0,2.0,107.0,4073.5,5,0.0,-1.0,2.3,22.0,5178.07,-1.0,1.0,-1.0,4.0,-1.0,0.51,0.58,1.3,1.0
webpack-contrib,html-loader,2320.0,208.0,1154935,820.0,3.0,-1.0,45.8,41.3,11.0,8.9,0.0,44.0,62.0,4,17.0,87.0,3137.7,13178,0.0,101.0,2.7,84.0,3719.37,28.0,2.0,4.0,11.0,11.0,0.97,1.0,1.3,44.0
npm,security-holder,296.0,51.0,1,820.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,37.0,0,1.0,343.0,2614.2,0,0.0,-1.0,3.0,2.0,2930.98,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.67,1.3,7.0
pugjs,pug,42940.0,1954.0,610344,820.0,0.0,-1.0,0.0,24.6,-1.0,-1.0,-1.0,21.0,37.0,0,20.0,41.0,3248.1,12365,30.0,4.0,1.4,217.0,5030.95,22.0,9.0,-1.0,-1.0,-1.0,0.89,0.97,1.3,21.0
typeorm,typeorm,65980.0,6133.0,309237,814.9,21.0,14.0,37.4,23.1,148.0,47.3,25.7,79.0,75.0,21,32.0,18.0,2456.3,5089,3.0,-1.0,1.9,429.0,2953.68,32.0,301.0,90.0,161.0,121.0,0.71,0.97,1.3,79.0
yiminghe,async-validator,17362.0,756.0,714151,814.9,2.0,-1.0,-1.0,11.4,1.0,0.1,-1.0,7.0,42.0,0,13.0,83.0,2532.7,18185,27.0,-1.0,1.7,53.0,3309.87,-1.0,4.0,-1.0,2.0,-1.0,0.37,0.98,1.3,7.0
formatjs,formatjs,28032.0,1341.0,163459,813.6,32.0,3.0,27.6,12.7,110.0,17.6,27.8,24.0,75.0,19,4.0,20.0,3056.3,59785,67.0,505.0,1.5,649.0,3629.27,2694.0,65.0,19.0,116.0,154.0,0.99,0.99,1.3,24.0
flitbit,diff,5882.0,251.0,296927,813.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,37.0,0,12.0,76.0,3245.6,2206,39.0,-1.0,2.7,8.0,4155.96,-1.0,-1.0,-1.0,-1.0,-1.0,0.73,0.85,1.3,6.0
driverdan,node-XMLHttpRequest,832.0,310.0,0,813.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,42.0,0,6.0,55.0,3638.7,0,0.0,-1.0,2.6,16.0,5292.85,-1.0,-1.0,-1.0,-1.0,-1.0,0.32,0.61,1.3,3.0
gulpjs,gulp,65724.0,4242.0,2020748,813.5,0.0,-1.0,0.5,5.7,3.0,0.1,0.0,24.0,75.0,10,12.0,72.0,3044.7,527,0.0,-1.0,4.5,100.0,3923.77,22.0,12.0,-1.0,3.0,-1.0,0.99,1.0,1.3,24.0
roryrjb,md5-file,420.0,20.0,1063904,813.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,42.0,0,9.0,26.0,694.6,38,0.0,-1.0,2.6,8.0,3628.65,2.0,-1.0,-1.0,-1.0,-1.0,0.88,1.0,1.3,11.0
mathiasbynens,utf8.js,1094.0,129.0,492769,813.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,42.0,0,12.0,584.0,2666.8,81,0.0,-1.0,1.2,2.0,3937.54,-1.0,-1.0,-1.0,-1.0,-1.0,0.43,0.58,1.3,6.0
firebase,firebase-admin-node,3126.0,344.0,0,812.0,-2.0,0.0,32.0,0.2,123.0,8.9,13.2,43.0,87.0,13,9.0,96.0,2237.3,2912,6.0,3037.0,2.1,139.0,2574.26,97.0,69.0,9.0,129.0,62.0,0.84,0.98,1.3,43.0
59naga,babel-plugin-add-module-exports,1462.0,54.0,324551,812.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,28.0,0,4.0,181.0,2866.4,40596,57.0,-1.0,1.9,10.0,3064.26,10.0,-1.0,-1.0,-1.0,-1.0,0.73,0.59,1.3,17.0
75lb,command-line-usage,402.0,36.0,258928,812.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,71.0,0,12.0,102.0,3156.4,83,1.0,11.0,1.0,4.0,3199.35,6.0,-1.0,-1.0,-1.0,-1.0,0.94,1.0,1.3,8.0
jimp-dev,jimp,26568.0,754.0,473646,811.9,0.0,-1.0,2.6,0.0,7.0,37.2,56.7,28.0,75.0,15,9.0,5.0,2167.2,18665,1.0,154.0,1.6,202.0,3487.05,111.0,16.0,6.0,9.0,11.0,0.78,0.99,1.3,28.0
mapbox,node-pre-gyp,2196.0,310.0,2936126,811.8,-3.0,-1.0,27.9,20.3,5.0,7.4,3.0,94.0,75.0,2,23.0,849.0,2931.2,4073,1.0,67.0,3.3,65.0,3774.99,-1.0,8.0,2.0,11.0,3.0,0.61,0.9,1.3,94.0
kelektiv,node.bcrypt.js,14508.0,497.0,0,811.7,0.0,-1.0,17.2,6.5,3.0,3.1,5.9,9.0,50.0,0,22.0,3.0,4289.6,4324,2.0,18.0,4.1,36.0,5099.78,21.0,31.0,4.0,3.0,16.0,0.96,0.99,1.3,9.0
enzymejs,enzyme,39960.0,2017.0,512996,811.6,0.0,-1.0,6.4,0.0,1.0,202.0,0.0,35.0,75.0,28,9.0,4.0,2334.7,1232,0.0,105.0,2.1,142.0,3064.09,-1.0,2.0,-1.0,2.0,-1.0,0.86,0.96,1.3,35.0
ant-design,ant-design,178992.0,44592.0,557045,779.3,213.0,40.0,6.4,0.6,1479.0,2.8,0.0,58.0,100.0,7,8.0,130.0,1626.0,960,0.0,114132.0,2.6,997.0,3264.35,640.0,1131.0,61.0,1504.0,377.0,0.96,0.99,1.2,58.0
lit,lit,34386.0,856.0,82902,882.6,15.0,-4.0,14.3,7.4,285.0,5.4,0.0,9.0,87.0,23,7.0,12.0,1083.2,25339,0.0,11296.0,2.1,1023.0,2467.31,490.0,112.0,33.0,313.0,294.0,0.79,0.95,1.3,9.0
Automattic,node-canvas,19574.0,1127.0,0,882.3,-3.0,-3.0,23.4,16.0,9.0,0.8,0.4,19.0,37.0,0,36.0,1012.0,2096.9,165,0.0,122.0,3.7,114.0,4932.27,12.0,64.0,6.0,12.0,9.0,0.78,0.94,1.3,19.0
mattyork,fuzzy,1652.0,88.0,207581,882.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,42.0,0,9.0,21.0,3545.4,452,0.0,-1.0,1.0,10.0,4277.64,4.0,-1.0,-1.0,-1.0,-1.0,0.34,0.58,1.3,7.0
casesandberg,react-color,23602.0,895.0,138455,882.3,2.0,-1.0,0.0,5.7,-1.0,-1.0,29.3,14.0,71.0,7,4.0,71.0,2625.1,5576,0.0,-1.0,2.1,179.0,3157.22,12.0,6.0,-1.0,4.0,-1.0,0.67,0.89,1.3,14.0
cryptocoinjs,bs58,400.0,43.0,510486,882.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,37.0,0,2.0,39.0,3531.1,5,0.0,-1.0,2.1,14.0,3799.86,-1.0,-1.0,-1.0,-1.0,-1.0,0.94,1.0,1.3,6.0
shouldjs,should.js,3804.0,131.0,225943,882.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,50.0,0,18.0,18.0,3136.4,950,0.0,-1.0,2.2,31.0,3595.53,7.0,-1.0,-1.0,-1.0,-1.0,0.94,0.93,1.3,13.0
anseki,readline-sync,1594.0,61.0,88703,882.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,42.0,0,47.0,60.0,3027.6,0,0.0,-1.0,1.1,2.0,3867.54,-1.0,-1.0,-1.0,-1.0,-1.0,1.00,1.0,1.3,6.0
quilljs,quill,76954.0,3138.0,170745,882.1,17.0,-2.0,66.7,40.7,50.0,5.1,43.3,27.0,62.0,7,5.0,7.0,2885.1,12079,4.0,621.0,1.2,151.0,4262.03,89.0,88.0,9.0,55.0,205.0,0.70,0.9,1.3,27.0
substack,brfs,1118.0,68.0,309592,882.1,0.0,-1.0,-1.0,46.8,-1.0,-1.0,-1.0,6.0,50.0,0,13.0,2.0,0.0,45,0.0,-1.0,1.4,10.0,4049.45,7.0,1.0,-1.0,-1.0,-1.0,0.72,0.87,1.3,6.0
domenic,chai-as-promised,2832.0,115.0,261407,882.1,1.0,-1.0,-1.0,3.1,1.0,0.0,-1.0,6.0,42.0,0,16.0,217.0,2817.5,1943,38.0,-1.0,2.1,20.0,4385.21,15.0,2.0,-1.0,1.0,-1.0,0.86,0.89,1.3,6.0
