owner,repo,stars_and_watchers,forks,downstream_dependents,length_of_comments,change_of_pulls,change_of_contributors,time_to_close_issues,time_to_comment_issues,closed_PRs,time_to_close_PRs,time_to_comment_PRs,commit_tags,health_percentage,headings_of_docs,headings_of_README,projects_owned_by_maintainer,projects_age_owned_by_maintainer,outdated_versions,vulnerabilities,workflow_runs,contributors_per_code_file,files_with_more_than_1_contributors,time_since_created,versions,issues_reporters_count,contributors_count,submitted_PRs,submitted_commits,issues_closed_rate,PRs_closed_rate,comments_per_pull,labels
mathiasbynens,he,6704.0,252.0,15121446,1202.5,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,6.0,42.0,0,14.0,584.0,2666.8,86,0.0,-1.0,1.5,8.0,3932.71,-1.0,1.0,-1.0,-1.0,-1.0,0.73,0.8,1.9,6.0
expressjs,compression,5418.0,228.0,17657006,1202.5,0.0,-1.0,-1.0,44.1,-1.0,-1.0,-1.0,22.0,50.0,0,9.0,44.0,3465.5,142,0.0,3.0,2.6,10.0,3742.01,28.0,1.0,-1.0,-1.0,-1.0,0.91,0.61,1.9,22.0
dcodeIO,long.js,1742.0,212.0,0,1200.8,0.0,-1.0,-1.0,1.4,-1.0,-1.0,23.3,11.0,42.0,0,6.0,68.0,2693.8,3194,0.0,421.0,1.7,20.0,4039.94,10.0,4.0,-1.0,4.0,-1.0,0.80,0.77,1.9,11.0
webpack,memory-fs,1764.0,88.0,9183266,1200.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,37.0,0,2.0,49.0,3401.6,1770,39.0,-1.0,3.6,12.0,3561.73,1.0,-1.0,-1.0,1.0,-1.0,0.50,0.77,1.9,8.0
arcanis,jest-pnp-resolver,50.0,13.0,10602818,1200.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,28.0,0,4.0,305.0,1928.4,0,0.0,-1.0,1.7,2.0,2015.28,-1.0,-1.0,-1.0,-1.0,-1.0,0.80,0.71,1.9,8.0
unshiftio,url-parse,2032.0,109.0,12775574,1200.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,50.0,0,7.0,40.0,3354.3,135,0.0,-1.0,3.0,15.0,3457.42,-1.0,-1.0,-1.0,-1.0,-1.0,0.91,1.0,1.9,8.0
sindresorhus,meow,6920.0,151.0,5510954,1195.1,2.0,-1.0,0.3,0.1,4.0,3.8,0.1,9.0,85.0,0,8.0,1100.0,2969.7,16,0.0,110.0,3.0,33.0,3458.4,30.0,6.0,2.0,5.0,11.0,0.84,0.99,1.9,9.0
Leonidas-from-XIV,node-xml2js,9598.0,573.0,3,1194.7,0.0,-1.0,0.0,39.3,1.0,13.7,15.2,1.0,57.0,1,1.0,192.0,2101.9,2921,5.0,-1.0,6.8,25.0,5006.62,-1.0,8.0,1.0,3.0,5.0,0.61,0.77,1.9,1.0
babel,babel-loader,9584.0,451.0,15892101,1193.6,-1.0,-1.0,15.4,10.3,7.0,7.3,10.3,17.0,75.0,2,15.0,61.0,2679.0,9342,6.0,89.0,4.3,52.0,3462.06,47.0,12.0,3.0,12.0,7.0,0.88,0.97,1.9,17.0
iamkun,dayjs,90754.0,2225.0,2514947,1185.9,3.0,3.0,7.9,19.3,30.0,22.3,13.6,17.0,71.0,4,10.0,10.0,1391.0,27032,72.0,151.0,3.5,357.0,2182.61,116.0,140.0,17.0,54.0,30.0,0.51,0.84,1.9,17.0
date-fns,date-fns,66714.0,1713.0,2944066,1178.3,3.0,3.0,9.5,8.3,36.0,31.5,27.1,52.0,62.0,15,2.0,13.0,1617.5,8330,14.0,1440.0,2.2,3920.0,3464.57,120.0,122.0,15.0,65.0,153.0,0.72,0.9,1.9,52.0
request,request,51324.0,3140.0,11222255,1177.8,0.0,-1.0,0.0,13.8,3.0,0.0,0.0,14.0,62.0,7,26.0,29.0,3355.3,272,0.0,-1.0,5.5,225.0,4816.94,-1.0,16.0,-1.0,5.0,-1.0,0.96,0.98,1.9,14.0
Qix-,color,9418.0,330.0,8917382,1177.8,0.0,-1.0,-1.0,0.1,-1.0,-1.0,-1.0,8.0,57.0,0,9.0,435.0,2187.0,45,0.0,-1.0,4.7,15.0,4665.87,18.0,2.0,-1.0,-1.0,-1.0,0.94,0.97,1.9,8.0
sindresorhus,get-stdin,666.0,34.0,6319314,1177.8,0.0,-1.0,0.2,-1.0,-1.0,-1.0,-1.0,6.0,85.0,0,8.0,1100.0,2969.7,89,0.0,1.0,2.6,12.0,3699.23,4.0,1.0,1.0,-1.0,1.0,0.88,1.0,1.9,6.0
puleos,object-hash,2680.0,155.0,11647333,1177.8,0.0,-1.0,3.2,3.2,-1.0,-1.0,-1.0,7.0,42.0,0,18.0,8.0,2142.5,2304,31.0,26.0,3.6,20.0,3678.4,-1.0,1.0,-1.0,-1.0,-1.0,0.69,0.89,1.9,7.0
svg,svgo,40394.0,1356.0,14010604,1167.1,-24.0,1.0,10.0,9.3,115.0,5.4,8.8,16.0,75.0,9,16.0,10.0,2171.7,5467,1.0,589.0,2.0,331.0,4239.55,58.0,33.0,17.0,127.0,111.0,0.85,0.94,1.9,16.0
webpack-contrib,style-loader,3286.0,476.0,13463431,1166.7,2.0,1.0,69.6,22.4,8.0,31.7,0.4,41.0,62.0,0,17.0,87.0,3137.7,18297,1.0,100.0,2.4,124.0,4376.95,42.0,4.0,3.0,9.0,5.0,0.98,1.0,1.9,41.0
mridgway,hoist-non-react-statics,3598.0,104.0,6809379,1166.7,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,42.0,0,6.0,49.0,3655.5,21241,47.0,-1.0,4.9,15.0,3231.02,6.0,-1.0,-1.0,-1.0,-1.0,0.74,0.8,1.9,8.0
ljharb,shell-quote,36.0,7.0,0,1166.2,0.0,-1.0,0.0,0.2,1.0,0.1,0.0,9.0,71.0,0,13.0,245.0,2033.9,58,0.0,63.0,2.7,20.0,538.43,-1.0,3.0,1.0,1.0,4.0,0.36,1.0,1.9,9.0
clean-css,clean-css,8236.0,322.0,14427660,1163.8,-3.0,-1.0,6.4,4.5,6.0,8.6,9.9,9.0,62.0,2,42.0,3.0,2801.4,880,0.0,91.0,1.4,158.0,4781.12,-1.0,9.0,6.0,6.0,9.0,0.98,0.99,1.9,9.0
jsx-eslint,eslint-plugin-react,17532.0,2748.0,13423294,1156.2,5.0,0.0,10.6,3.2,31.0,12.0,0.0,22.0,75.0,3,11.0,4.0,2654.9,582,0.0,1746.0,9.5,380.0,3394.01,186.0,48.0,19.0,35.0,56.0,0.90,0.95,1.9,22.0
mdevils,html-entities,1196.0,123.0,15743012,1156.2,0.0,-1.0,-1.0,26.4,-1.0,-1.0,-1.0,7.0,42.0,0,3.0,31.0,2855.0,3131,3.0,25.0,1.6,17.0,4062.41,14.0,2.0,-1.0,1.0,-1.0,0.98,0.9,1.9,7.0
immutable-js,immutable-js,65640.0,1777.0,2,1155.2,13.0,-1.0,0.4,0.6,31.0,4.8,0.4,20.0,50.0,0,24.0,1.0,3560.7,14745,13.0,223.0,1.7,309.0,3560.75,77.0,7.0,4.0,31.0,29.0,0.92,0.98,1.9,20.0
webpack-contrib,postcss-loader,5688.0,209.0,14824724,1154.4,3.0,2.0,66.0,65.3,14.0,18.4,1.4,42.0,62.0,0,18.0,87.0,3137.7,14349,2.0,179.0,2.2,182.0,3467.35,53.0,7.0,5.0,14.0,13.0,1.00,1.0,1.9,42.0
mcollina,split2,552.0,29.0,1564451,1154.4,0.0,-1.0,0.1,0.1,-1.0,-1.0,-1.0,8.0,57.0,0,3.0,566.0,2562.3,5,0.0,9.0,3.5,7.0,3672.49,15.0,1.0,-1.0,-1.0,-1.0,0.83,1.0,1.9,8.0
TypeStrong,fork-ts-checker-webpack-plugin,3800.0,234.0,9032129,1153.4,-1.0,0.0,12.6,29.6,6.0,47.2,35.7,23.0,87.0,30,14.0,33.0,2736.6,17274,13.0,73.0,1.8,270.0,2532.48,223.0,8.0,6.0,9.0,9.0,0.95,0.98,1.9,23.0
unclechu,node-deep-extend,402.0,62.0,38267,1153.4,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,42.0,0,0.0,133.0,2426.4,58,0.0,-1.0,2.4,9.0,4609.34,-1.0,-1.0,-1.0,-1.0,-1.0,0.68,0.84,1.9,8.0
rollup,rollup,49118.0,1405.0,11152410,1122.5,-2.0,3.0,9.3,5.6,151.0,2.8,0.0,47.0,87.0,25,16.0,46.0,2588.7,14812,0.0,3462.0,1.5,5420.0,3244.06,455.0,116.0,25.0,159.0,205.0,0.84,0.99,1.9,47.0
